[0/500] loss: 0.635249, lr: [0.001]
[1/500] loss: 0.586284, lr: [0.001]
[2/500] loss: 0.492188, lr: [0.001]
[3/500] loss: 0.383894, lr: [0.001]
[4/500] loss: 0.283401, lr: [0.001]
[5/500] loss: 0.211283, lr: [0.001]
[6/500] loss: 0.172110, lr: [0.001]
[7/500] loss: 0.145441, lr: [0.001]
[8/500] loss: 0.118649, lr: [0.001]
[9/500] loss: 0.093631, lr: [0.001]
[10/500] loss: 0.084683, lr: [0.001]
[11/500] loss: 0.089901, lr: [0.001]
[12/500] loss: 0.090037, lr: [0.001]
[13/500] loss: 0.080956, lr: [0.001]
[14/500] loss: 0.074421, lr: [0.001]
[15/500] loss: 0.065930, lr: [0.001]
[16/500] loss: 0.054799, lr: [0.001]
[17/500] loss: 0.048101, lr: [0.001]
[18/500] loss: 0.046025, lr: [0.001]
[19/500] loss: 0.045096, lr: [0.001]
[20/500] loss: 0.043282, lr: [0.001]
[21/500] loss: 0.039705, lr: [0.001]
[22/500] loss: 0.036051, lr: [0.001]
[23/500] loss: 0.033749, lr: [0.001]
[24/500] loss: 0.032289, lr: [0.001]
[25/500] loss: 0.030923, lr: [0.001]
[26/500] loss: 0.029548, lr: [0.001]
[27/500] loss: 0.028026, lr: [0.001]
[28/500] loss: 0.026481, lr: [0.001]
[29/500] loss: 0.025182, lr: [0.001]
[30/500] loss: 0.023665, lr: [0.001]
[31/500] loss: 0.022207, lr: [0.001]
[32/500] loss: 0.021303, lr: [0.001]
[33/500] loss: 0.021358, lr: [0.001]
[34/500] loss: 0.020625, lr: [0.001]
[35/500] loss: 0.020082, lr: [0.001]
[36/500] loss: 0.019692, lr: [0.001]
[37/500] loss: 0.018838, lr: [0.001]
[38/500] loss: 0.018612, lr: [0.001]
[39/500] loss: 0.018539, lr: [0.001]
[40/500] loss: 0.017902, lr: [0.001]
[41/500] loss: 0.017619, lr: [0.001]
[42/500] loss: 0.016524, lr: [0.001]
[43/500] loss: 0.016125, lr: [0.001]
[44/500] loss: 0.015973, lr: [0.001]
[45/500] loss: 0.015231, lr: [0.001]
[46/500] loss: 0.014920, lr: [0.001]
[47/500] loss: 0.015014, lr: [0.001]
[48/500] loss: 0.015484, lr: [0.001]
[49/500] loss: 0.015923, lr: [0.001]
[50/500] loss: 0.015079, lr: [0.001]
[51/500] loss: 0.014466, lr: [0.001]
[52/500] loss: 0.014295, lr: [0.001]
[53/500] loss: 0.014772, lr: [0.001]
[54/500] loss: 0.015116, lr: [0.001]
[55/500] loss: 0.015438, lr: [0.001]
[56/500] loss: 0.014652, lr: [0.001]
[57/500] loss: 0.013880, lr: [0.001]
[58/500] loss: 0.014014, lr: [0.001]
[59/500] loss: 0.013736, lr: [0.001]
[60/500] loss: 0.014123, lr: [0.001]
[61/500] loss: 0.014351, lr: [0.001]
[62/500] loss: 0.014087, lr: [0.001]
[63/500] loss: 0.014182, lr: [0.001]
[64/500] loss: 0.013884, lr: [0.001]
[65/500] loss: 0.013489, lr: [0.001]
[66/500] loss: 0.013037, lr: [0.001]
[67/500] loss: 0.013450, lr: [0.001]
[68/500] loss: 0.013717, lr: [0.001]
[69/500] loss: 0.014096, lr: [0.001]
[70/500] loss: 0.014335, lr: [0.001]
[71/500] loss: 0.013108, lr: [0.001]
[72/500] loss: 0.012897, lr: [0.001]
[73/500] loss: 0.013296, lr: [0.001]
[74/500] loss: 0.013175, lr: [0.001]
[75/500] loss: 0.013515, lr: [0.001]
[76/500] loss: 0.013052, lr: [0.001]
[77/500] loss: 0.013186, lr: [0.001]
[78/500] loss: 0.013443, lr: [0.001]
[79/500] loss: 0.013537, lr: [0.001]
[80/500] loss: 0.013393, lr: [0.001]
[81/500] loss: 0.012959, lr: [0.001]
[82/500] loss: 0.012730, lr: [0.001]
[83/500] loss: 0.012485, lr: [0.001]
[84/500] loss: 0.012434, lr: [0.001]
[85/500] loss: 0.013386, lr: [0.001]
[86/500] loss: 0.014684, lr: [0.001]
[87/500] loss: 0.014192, lr: [0.001]
[88/500] loss: 0.012982, lr: [0.001]
[89/500] loss: 0.012752, lr: [0.001]
[90/500] loss: 0.013181, lr: [0.001]
[91/500] loss: 0.013255, lr: [0.001]
[92/500] loss: 0.013094, lr: [0.001]
[93/500] loss: 0.012291, lr: [0.001]
[94/500] loss: 0.012378, lr: [0.001]
[95/500] loss: 0.012396, lr: [0.001]
[96/500] loss: 0.012359, lr: [0.001]
[97/500] loss: 0.012255, lr: [0.001]
[98/500] loss: 0.011572, lr: [0.001]
[99/500] loss: 0.011690, lr: [0.001]
[100/500] loss: 0.012102, lr: [0.001]
[101/500] loss: 0.012144, lr: [0.001]
[102/500] loss: 0.012420, lr: [0.001]
[103/500] loss: 0.012277, lr: [0.001]
[104/500] loss: 0.012011, lr: [0.001]
[105/500] loss: 0.012326, lr: [0.001]
[106/500] loss: 0.013614, lr: [0.001]
[107/500] loss: 0.013944, lr: [0.001]
[108/500] loss: 0.012950, lr: [0.001]
[109/500] loss: 0.013123, lr: [0.0005]
[110/500] loss: 0.012465, lr: [0.0005]
[111/500] loss: 0.011220, lr: [0.0005]
[112/500] loss: 0.009224, lr: [0.0005]
[113/500] loss: 0.007700, lr: [0.0005]
[114/500] loss: 0.007400, lr: [0.0005]
[115/500] loss: 0.007867, lr: [0.0005]
[116/500] loss: 0.008285, lr: [0.0005]
[117/500] loss: 0.008183, lr: [0.0005]
[118/500] loss: 0.007733, lr: [0.0005]
[119/500] loss: 0.007151, lr: [0.0005]
[120/500] loss: 0.006917, lr: [0.0005]
[121/500] loss: 0.006824, lr: [0.0005]
[122/500] loss: 0.006880, lr: [0.0005]
[123/500] loss: 0.006763, lr: [0.0005]
[124/500] loss: 0.006721, lr: [0.0005]
[125/500] loss: 0.006504, lr: [0.0005]
[126/500] loss: 0.006365, lr: [0.0005]
[127/500] loss: 0.006669, lr: [0.0005]
[128/500] loss: 0.007383, lr: [0.0005]
[129/500] loss: 0.007409, lr: [0.0005]
[130/500] loss: 0.006593, lr: [0.0005]
[131/500] loss: 0.006761, lr: [0.0005]
[132/500] loss: 0.006971, lr: [0.0005]
[133/500] loss: 0.006750, lr: [0.0005]
[134/500] loss: 0.006411, lr: [0.0005]
[135/500] loss: 0.006417, lr: [0.0005]
[136/500] loss: 0.006385, lr: [0.0005]
[137/500] loss: 0.006239, lr: [0.0005]
[138/500] loss: 0.006229, lr: [0.0005]
[139/500] loss: 0.006245, lr: [0.0005]
[140/500] loss: 0.006337, lr: [0.0005]
[141/500] loss: 0.006176, lr: [0.0005]
[142/500] loss: 0.005765, lr: [0.0005]
[143/500] loss: 0.005861, lr: [0.0005]
[144/500] loss: 0.006171, lr: [0.0005]
[145/500] loss: 0.006405, lr: [0.0005]
[146/500] loss: 0.006742, lr: [0.0005]
[147/500] loss: 0.006485, lr: [0.0005]
[148/500] loss: 0.006273, lr: [0.0005]
[149/500] loss: 0.006146, lr: [0.0005]
[150/500] loss: 0.006079, lr: [0.0005]
[151/500] loss: 0.005767, lr: [0.0005]
[152/500] loss: 0.005589, lr: [0.0005]
[153/500] loss: 0.005699, lr: [0.0005]
[154/500] loss: 0.006080, lr: [0.0005]
[155/500] loss: 0.006211, lr: [0.0005]
[156/500] loss: 0.006174, lr: [0.0005]
[157/500] loss: 0.005904, lr: [0.0005]
[158/500] loss: 0.005760, lr: [0.0005]
[159/500] loss: 0.005889, lr: [0.0005]
[160/500] loss: 0.005974, lr: [0.0005]
[161/500] loss: 0.006139, lr: [0.0005]
[162/500] loss: 0.005727, lr: [0.0005]
[163/500] loss: 0.005599, lr: [0.00025]
[164/500] loss: 0.005740, lr: [0.00025]
[165/500] loss: 0.005374, lr: [0.00025]
[166/500] loss: 0.004422, lr: [0.00025]
[167/500] loss: 0.003707, lr: [0.00025]
[168/500] loss: 0.003649, lr: [0.00025]
[169/500] loss: 0.003988, lr: [0.00025]
[170/500] loss: 0.004152, lr: [0.00025]
[171/500] loss: 0.003898, lr: [0.00025]
[172/500] loss: 0.003656, lr: [0.00025]
[173/500] loss: 0.003560, lr: [0.00025]
[174/500] loss: 0.003423, lr: [0.00025]
[175/500] loss: 0.003356, lr: [0.00025]
[176/500] loss: 0.003351, lr: [0.00025]
[177/500] loss: 0.003262, lr: [0.00025]
[178/500] loss: 0.003150, lr: [0.00025]
[179/500] loss: 0.003198, lr: [0.00025]
[180/500] loss: 0.003428, lr: [0.00025]
[181/500] loss: 0.003673, lr: [0.00025]
[182/500] loss: 0.003830, lr: [0.00025]
[183/500] loss: 0.003419, lr: [0.00025]
[184/500] loss: 0.003125, lr: [0.00025]
[185/500] loss: 0.003133, lr: [0.00025]
[186/500] loss: 0.003249, lr: [0.00025]
[187/500] loss: 0.003610, lr: [0.00025]
[188/500] loss: 0.003405, lr: [0.00025]
[189/500] loss: 0.003148, lr: [0.00025]
[190/500] loss: 0.003242, lr: [0.00025]
[191/500] loss: 0.003601, lr: [0.00025]
[192/500] loss: 0.003727, lr: [0.00025]
[193/500] loss: 0.003491, lr: [0.00025]
[194/500] loss: 0.003388, lr: [0.00025]
[195/500] loss: 0.003359, lr: [0.000125]
[196/500] loss: 0.003276, lr: [0.000125]
[197/500] loss: 0.002913, lr: [0.000125]
[198/500] loss: 0.002577, lr: [0.000125]
[199/500] loss: 0.002157, lr: [0.000125]
[200/500] loss: 0.001998, lr: [0.000125]
[201/500] loss: 0.002107, lr: [0.000125]
[202/500] loss: 0.002217, lr: [0.000125]
[203/500] loss: 0.002232, lr: [0.000125]
[204/500] loss: 0.002116, lr: [0.000125]
[205/500] loss: 0.001935, lr: [0.000125]
[206/500] loss: 0.001785, lr: [0.000125]
[207/500] loss: 0.001772, lr: [0.000125]
[208/500] loss: 0.001778, lr: [0.000125]
[209/500] loss: 0.001741, lr: [0.000125]
[210/500] loss: 0.001667, lr: [0.000125]
[211/500] loss: 0.001574, lr: [0.000125]
[212/500] loss: 0.001537, lr: [0.000125]
[213/500] loss: 0.001581, lr: [0.000125]
[214/500] loss: 0.001578, lr: [0.000125]
[215/500] loss: 0.001554, lr: [0.000125]
[216/500] loss: 0.001490, lr: [0.000125]
[217/500] loss: 0.001488, lr: [0.000125]
[218/500] loss: 0.001504, lr: [0.000125]
[219/500] loss: 0.001522, lr: [0.000125]
[220/500] loss: 0.001598, lr: [0.000125]
[221/500] loss: 0.001819, lr: [0.000125]
[222/500] loss: 0.001771, lr: [0.000125]
[223/500] loss: 0.001599, lr: [0.000125]
[224/500] loss: 0.001514, lr: [0.000125]
[225/500] loss: 0.001548, lr: [0.000125]
[226/500] loss: 0.001575, lr: [0.000125]
[227/500] loss: 0.001665, lr: [0.000125]
[228/500] loss: 0.001736, lr: [6.25e-05]
[229/500] loss: 0.001665, lr: [6.25e-05]
[230/500] loss: 0.001464, lr: [6.25e-05]
[231/500] loss: 0.001277, lr: [6.25e-05]
[232/500] loss: 0.001057, lr: [6.25e-05]
[233/500] loss: 0.001014, lr: [6.25e-05]
[234/500] loss: 0.001066, lr: [6.25e-05]
[235/500] loss: 0.001052, lr: [6.25e-05]
[236/500] loss: 0.001042, lr: [6.25e-05]
[237/500] loss: 0.000986, lr: [6.25e-05]
[238/500] loss: 0.000923, lr: [6.25e-05]
[239/500] loss: 0.000912, lr: [6.25e-05]
[240/500] loss: 0.000860, lr: [6.25e-05]
[241/500] loss: 0.000871, lr: [6.25e-05]
[242/500] loss: 0.000837, lr: [6.25e-05]
[243/500] loss: 0.000815, lr: [6.25e-05]
[244/500] loss: 0.000778, lr: [6.25e-05]
[245/500] loss: 0.000753, lr: [6.25e-05]
[246/500] loss: 0.000771, lr: [6.25e-05]
[247/500] loss: 0.000766, lr: [6.25e-05]
[248/500] loss: 0.000742, lr: [6.25e-05]
[249/500] loss: 0.000720, lr: [6.25e-05]
[250/500] loss: 0.000719, lr: [6.25e-05]
[251/500] loss: 0.000744, lr: [6.25e-05]
[252/500] loss: 0.000731, lr: [6.25e-05]
[253/500] loss: 0.000717, lr: [6.25e-05]
[254/500] loss: 0.000728, lr: [6.25e-05]
[255/500] loss: 0.000748, lr: [6.25e-05]
[256/500] loss: 0.000764, lr: [6.25e-05]
[257/500] loss: 0.000789, lr: [6.25e-05]
[258/500] loss: 0.000854, lr: [6.25e-05]
[259/500] loss: 0.000885, lr: [6.25e-05]
[260/500] loss: 0.000797, lr: [6.25e-05]
[261/500] loss: 0.000766, lr: [6.25e-05]
[262/500] loss: 0.000730, lr: [6.25e-05]
[263/500] loss: 0.000717, lr: [6.25e-05]
[264/500] loss: 0.000679, lr: [6.25e-05]
[265/500] loss: 0.000703, lr: [6.25e-05]
[266/500] loss: 0.000746, lr: [6.25e-05]
[267/500] loss: 0.000756, lr: [6.25e-05]
[268/500] loss: 0.000794, lr: [6.25e-05]
[269/500] loss: 0.000842, lr: [6.25e-05]
[270/500] loss: 0.000854, lr: [6.25e-05]
[271/500] loss: 0.000808, lr: [6.25e-05]
[272/500] loss: 0.000758, lr: [6.25e-05]
[273/500] loss: 0.000742, lr: [6.25e-05]
[274/500] loss: 0.000762, lr: [6.25e-05]
[275/500] loss: 0.000815, lr: [3.125e-05]
[276/500] loss: 0.000834, lr: [3.125e-05]
[277/500] loss: 0.000710, lr: [3.125e-05]
[278/500] loss: 0.000639, lr: [3.125e-05]
[279/500] loss: 0.000534, lr: [3.125e-05]
[280/500] loss: 0.000509, lr: [3.125e-05]
[281/500] loss: 0.000530, lr: [3.125e-05]
[282/500] loss: 0.000527, lr: [3.125e-05]
[283/500] loss: 0.000538, lr: [3.125e-05]
[284/500] loss: 0.000523, lr: [3.125e-05]
[285/500] loss: 0.000488, lr: [3.125e-05]
[286/500] loss: 0.000455, lr: [3.125e-05]
[287/500] loss: 0.000440, lr: [3.125e-05]
[288/500] loss: 0.000445, lr: [3.125e-05]
[289/500] loss: 0.000439, lr: [3.125e-05]
[290/500] loss: 0.000435, lr: [3.125e-05]
[291/500] loss: 0.000434, lr: [3.125e-05]
[292/500] loss: 0.000412, lr: [3.125e-05]
[293/500] loss: 0.000401, lr: [3.125e-05]
[294/500] loss: 0.000406, lr: [3.125e-05]
[295/500] loss: 0.000408, lr: [3.125e-05]
[296/500] loss: 0.000394, lr: [3.125e-05]
[297/500] loss: 0.000387, lr: [3.125e-05]
[298/500] loss: 0.000383, lr: [3.125e-05]
[299/500] loss: 0.000407, lr: [3.125e-05]
[300/500] loss: 0.000442, lr: [3.125e-05]
[301/500] loss: 0.000438, lr: [3.125e-05]
[302/500] loss: 0.000395, lr: [3.125e-05]
[303/500] loss: 0.000398, lr: [3.125e-05]
[304/500] loss: 0.000479, lr: [3.125e-05]
[305/500] loss: 0.000464, lr: [3.125e-05]
[306/500] loss: 0.000419, lr: [3.125e-05]
[307/500] loss: 0.000427, lr: [3.125e-05]
[308/500] loss: 0.000428, lr: [3.125e-05]
[309/500] loss: 0.000409, lr: [1.5625e-05]
[310/500] loss: 0.000397, lr: [1.5625e-05]
[311/500] loss: 0.000363, lr: [1.5625e-05]
[312/500] loss: 0.000311, lr: [1.5625e-05]
[313/500] loss: 0.000267, lr: [1.5625e-05]
[314/500] loss: 0.000248, lr: [1.5625e-05]
[315/500] loss: 0.000256, lr: [1.5625e-05]
[316/500] loss: 0.000270, lr: [1.5625e-05]
[317/500] loss: 0.000273, lr: [1.5625e-05]
[318/500] loss: 0.000262, lr: [1.5625e-05]
[319/500] loss: 0.000244, lr: [1.5625e-05]
[320/500] loss: 0.000234, lr: [1.5625e-05]
[321/500] loss: 0.000219, lr: [1.5625e-05]
[322/500] loss: 0.000216, lr: [1.5625e-05]
[323/500] loss: 0.000225, lr: [1.5625e-05]
[324/500] loss: 0.000223, lr: [1.5625e-05]
[325/500] loss: 0.000218, lr: [1.5625e-05]
[326/500] loss: 0.000211, lr: [1.5625e-05]
[327/500] loss: 0.000206, lr: [1.5625e-05]
[328/500] loss: 0.000203, lr: [1.5625e-05]
[329/500] loss: 0.000204, lr: [1.5625e-05]
[330/500] loss: 0.000206, lr: [1.5625e-05]
[331/500] loss: 0.000202, lr: [1.5625e-05]
[332/500] loss: 0.000197, lr: [1.5625e-05]
[333/500] loss: 0.000197, lr: [1.5625e-05]
[334/500] loss: 0.000194, lr: [1.5625e-05]
[335/500] loss: 0.000192, lr: [1.5625e-05]
[336/500] loss: 0.000185, lr: [1.5625e-05]
[337/500] loss: 0.000180, lr: [1.5625e-05]
